Step	Time	Epot	Ekin	Etot	T
331	0.000331	0.002669	946.138722	946.141391	1.047701
332	0.000332	0.002687	946.141485	946.144172	1.047704
333	0.000333	0.002704	946.144253	946.146957	1.047707
334	0.000334	0.002722	946.147024	946.149746	1.047710
335	0.000335	0.002740	946.149800	946.152540	1.047713
336	0.000336	0.002758	946.152580	946.155338	1.047716
337	0.000337	0.002776	946.155364	946.158140	1.047719
338	0.000338	0.002794	946.158152	946.160946	1.047722
339	0.000339	0.002812	946.160945	946.163756	1.047725
340	0.000340	0.002830	946.163741	946.166571	1.047728
341	0.000341	0.002848	946.166542	946.169390	1.047731
342	0.000342	0.002866	946.169347	946.172213	1.047734
343	0.000343	0.002885	946.172156	946.175040	1.047738
344	0.000344	0.002903	946.174969	946.177872	1.047741
345	0.000345	0.002922	946.177786	946.180708	1.047744
346	0.000346	0.002940	946.180607	946.183548	1.047747
347	0.000347	0.002959	946.183433	946.186392	1.047750
348	0.000348	0.002978	946.186263	946.189240	1.047753
349	0.000349	0.002996	946.189097	946.192093	1.047756
350	0.000350	0.003015	946.191935	946.194950	1.047759
351	0.000351	0.003034	946.194777	946.197811	1.047763
352	0.000352	0.003053	946.197623	946.200677	1.047766
353	0.000353	0.003072	946.200474	946.203546	1.047769
354	0.000354	0.003092	946.203328	946.206420	1.047772
355	0.000355	0.003111	946.206187	946.209298	1.047775
356	0.000356	0.003130	946.209050	946.212180	1.047778
357	0.000357	0.003150	946.211917	946.215067	1.047782
358	0.000358	0.003169	946.214789	946.217958	1.047785
359	0.000359	0.003189	946.217664	946.220853	1.047788
360	0.000360	0.003208	946.220544	946.223752	1.047791
361	0.000361	0.003228	946.223427	946.226655	1.047794
362	0.000362	0.003248	946.226315	946.229563	1.047798
363	0.000363	0.003268	946.229207	946.232475	1.047801
364	0.000364	0.003287	946.232103	946.235391	1.047804
365	0.000365	0.003307	946.235004	946.238311	1.047807
366	0.000366	0.003328	946.237908	946.241236	1.047810
367	0.000367	0.003348	946.240817	946.244164	1.047814
368	0.000368	0.003368	946.243729	946.247097	1.047817
